CONTAINER ID   IMAGE                               STATUS                   NAMES
90f112a60d76   week8assignment-email-service       Up 7 minutes             email-service
7ee42bc503c8   week8assignment-ticket-service      Up 7 minutes             ticket-service
03eda2897767   week8assignment-passenger-service   Up 7 minutes             passenger-service
2a30191199e3   week8assignment-flight-service      Up 7 minutes             flight-service
ef74f431cdb7   week8assignment-auth-service        Up 7 minutes             auth-service
caa5bb9964f2   confluentinc/cp-kafka:7.5.0         Up 7 minutes (healthy)   kafka
c55e0041321f   week8assignment-config-server       Up 7 minutes (healthy)   config-server
51c2f5b70e3c   week8assignment-api-gateway         Up 7 minutes             api-gateway
f9136eeabdc5   postgres:16                         Up 7 minutes             postgres-db
bef18920ce25   postgres:16                         Up 7 minutes             postgres-ticket
98ccb78dc510   postgres:16                         Up 7 minutes             postgres-flight
7e197bca5f1c   mysql:8                             Up 7 minutes (healthy)   mysql-db
6ebe2337c0a0   week8assignment-eureka-server       Up 7 minutes (healthy)   eureka-server
2e6ce970bd13   confluentinc/cp-zookeeper:7.5.0     Up 7 minutes (healthy)   zookeeper
